Year,Jurisdiction,All students,Average scale score
2000,Michigan,All students,278.452666707407
2000,Minnesota,All students,287.651942187297
2000,Mississippi,All students,254.033900269054
2000,Missouri,All students,273.575780410819
2000,Montana,All students,286.584607021488
2000,Nebraska,All students,280.618068695496
2000,Nevada,All students,268.18159911998
2000,New Hampshire,All students,�
2000,New Jersey,All students,�
2000,New Mexico,All students,259.844673042444
2000,New York,All students,276.262858771617
2000,North Carolina,All students,280.127947198885
2000,North Dakota,All students,283.073844051673
2000,Ohio,All students,282.672753528445
2000,Oklahoma,All students,271.645793898218
2000,Oregon,All students,280.640222797324
2000,Pennsylvania,All students,�
2000,Rhode Island,All students,273.425785095558
2000,South Carolina,All students,266.353699525282
2000,South Dakota,All students,�
2000,Tennessee,All students,263.436599688201
2000,Texas,All students,274.846015943346
2000,Utah,All students,275.436709934551
2000,Vermont,All students,283.408381447859
2000,Virginia,All students,276.674991537432
2000,Washington,All students,�
2000,West Virginia,All students,270.780076291355
2000,Wisconsin,All students,�
2000,Wyoming,All students,276.68998034322
1996,Alabama,All students,256.594863207309
1996,Alaska,All students,277.643071449619
1996,Arizona,All students,267.874834337364
1996,Arkansas,All students,261.652745252938
1996,California,All students,262.772478440845
1996,Colorado,All students,275.608214245213
1996,Connecticut,All students,279.591244854912
1996,Delaware,All students,266.733673323772
1996,District of Columbia,All students,232.831509532896
1996,Florida,All students,263.639393601298
1996,Georgia,All students,262.466020943521
1996,Hawaii,All students,262.130081659249
1996,Idaho,All students,�
1996,Illinois,All students,�
1996,Indiana,All students,275.529036804764
1996,Iowa,All students,283.986368602787
1996,Kansas,All students,�
1996,Kentucky,All students,266.591684017917
1996,Louisiana,All students,252.380394698737
1996,Maine,All students,284.059857433683
1996,Maryland,All students,269.681431438747
1996,Massachusetts,All students,277.565642048853
1996,Michigan,All students,276.866078248355
1996,Minnesota,All students,284.048944634206
1996,Mississippi,All students,250.215489081725
1996,Missouri,All students,273.284887242559
1996,Montana,All students,283.003869962468
1996,Nebraska,All students,282.769606861882
1996,Nevada,All students,�
1996,New Hampshire,All students,�
1996,New Jersey,All students,�
1996,New Mexico,All students,261.970366722903
1996,New York,All students,270.231486042978
1996,North Carolina,All students,267.834560282947
1996,North Dakota,All students,284.222267982804
1996,Ohio,All students,�
1996,Oklahoma,All students,�
1996,Oregon,All students,276.341513193468
1996,Pennsylvania,All students,�
1996,Rhode Island,All students,268.877308125052
1996,South Carolina,All students,260.77544755056
1996,South Dakota,All students,�
1996,Tennessee,All students,263.118935026706
1996,Texas,All students,270.1995775601
1996,Utah,All students,276.77310580851
1996,Vermont,All students,279.253243011267
1996,Virginia,All students,269.754404714393
1996,Washington,All students,276.117119563268
1996,West Virginia,All students,264.865205444032
1996,Wisconsin,All students,282.848741719953
1996,Wyoming,All students,274.778946978667
1992,Alabama,All students,252.18752241295
1992,Alaska,All students,�
1992,Arizona,All students,265.366277794427
1992,Arkansas,All students,256.312090419091
1992,California,All students,260.89224682207
1992,Colorado,All students,272.398432913929
1992,Connecticut,All students,273.739344572132
1992,Delaware,All students,262.868585398892
1992,District of Columbia,All students,234.924621328025
1992,Florida,All students,259.908848182301
1992,Georgia,All students,259.359433593101
1992,Hawaii,All students,257.410887409173
1992,Idaho,All students,275.09029414145
1992,Illinois,All students,�
1992,Indiana,All students,270.098943937619
1992,Iowa,All students,283.360009038918
1992,Kansas,All students,�
1992,Kentucky,All students,262.241281641376
1992,Louisiana,All students,249.98392592402
1992,Maine,All students,278.635384117375
1992,Maryland,All students,264.82549311365
1992,Massachusetts,All students,272.783201271176
1992,Michigan,All students,267.353194329414
1992,Minnesota,All students,282.392204641658
1992,Mississippi,All students,246.458035433033
1992,Missouri,All students,271.131544740125
1992,Montana,All students,�
1992,Nebraska,All students,277.654523381042
1992,Nevada,All students,�
1992,New Hampshire,All students,278.216325585348
1992,New Jersey,All students,271.905561192357
1992,New Mexico,All students,259.606717651222
1992,New York,All students,266.422300096356
1992,North Carolina,All students,258.405374807984
1992,North Dakota,All students,283.213074712775
1992,Ohio,All students,268.124197827471
1992,Oklahoma,All students,268.131989632929
1992,Oregon,All students,�
1992,Pennsylvania,All students,271.378438779246
1992,Rhode Island,All students,265.907109115823
1992,South Carolina,All students,260.77254399911
1992,South Dakota,All students,�
1992,Tennessee,All students,258.828048116901
1992,Texas,All students,264.592828381905
1992,Utah,All students,274.343177142075
1992,Vermont,All students,�
1992,Virginia,All students,267.863726281842
1992,Washington,All students,�
1992,West Virginia,All students,259.086448391919
1992,Wisconsin,All students,277.879134613647
1992,Wyoming,All students,275.080076053804
1990,Alabama,All students,252.863659941877
1990,Alaska,All students,�
1990,Arizona,All students,259.590067588212
1990,Arkansas,All students,256.213990069438
1990,California,All students,256.324820109223
1990,Colorado,All students,267.366289884072
1990,Connecticut,All students,269.86641896965
1990,Delaware,All students,260.696858717319
1990,District of Columbia,All students,231.366196651827
1990,Florida,All students,255.318428709044
1990,Georgia,All students,258.849663447908
1990,Hawaii,All students,251.021316528152
1990,Idaho,All students,271.44977262326
1990,Illinois,All students,260.551434334685
1990,Indiana,All students,267.265914915861
1990,Iowa,All students,277.96856952118
1990,Kansas,All students,�
1990,Kentucky,All students,257.097205859974
1990,Louisiana,All students,246.442552990899
1990,Maine,All students,�
1990,Maryland,All students,260.765590209676
1990,Massachusetts,All students,�
1990,Michigan,All students,264.398378104696
1990,Minnesota,All students,275.391078977074
1990,Mississippi,All students,�
1990,Missouri,All students,�
1990,Montana,All students,280.497342352668
1990,Nebraska,All students,275.673962105345
1990,Nevada,All students,�
1990,New Hampshire,All students,273.147248796745
1990,New Jersey,All students,269.664075949166
1990,New Mexico,All students,256.422988469222
1990,New York,All students,260.795812629884
1990,North Carolina,All students,250.348487219657
1990,North Dakota,All students,281.100428162171
1990,Ohio,All students,263.974499317898
1990,Oklahoma,All students,263.178474756633
1990,Oregon,All students,271.36249421322
1990,Pennsylvania,All students,266.363944697031
1990,Rhode Island,All students,260.040897221955
1990,South Carolina,All students,�
1990,South Dakota,All students,�
1990,Tennessee,All students,�
1990,Texas,All students,258.189986920895
1990,Utah,All students,�
1990,Vermont,All students,�
1990,Virginia,All students,264.273011342894
1990,Washington,All students,�
1990,West Virginia,All students,255.899060067677
1990,Wisconsin,All students,274.487372277466
1990,Wyoming,All students,272.147965478912
