STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
Nevada,2011,4146577,4258855,1377125
New Hampshire,2011,2947007,3001244,855476
New Jersey,2011,26242376,25716298,8634990
New Mexico,2011,3591330,3694437,1124390
New York,2011,57753776,59446908,14460678
North Carolina,2011,14409515,13767024,3843709
North Dakota,2011,1309044,1312226,360118
Ohio,2011,23488657,23010396,7570565
Oklahoma,2011,5835133,5644988,1814927
Oregon,2011,6112484,6317635,2071303
Pennsylvania,2011,28492510,28810721,7947108
Rhode Island,2011,2212352,2198940,736651
South Carolina,2011,7772777,7961448,2428477
South Dakota,2011,1297661,1350617,390655
Tennessee,2011,8679893,8961443,2635217
Texas,2011,51023159,52691826,14325757
Utah,2011,4141253,4195916,1018548
Vermont,2011,1686499,1722515,511825
Virginia,2011,14655345,14675815,4602566
Washington,2011,11905941,11928408,3427282
West Virginia,2011,3475642,3670119,1160212
Wisconsin,2011,11664303,11440718,3668777
Wyoming,2011,1650621,1656850,528352
Alabama,2010,7281058,7647571,2308399
Alaska,2010,2230338,2371251,856333
Arizona,2010,8828122,8812967,2949514
Arkansas,2010,5069272,5520387,1595730
California,2010,67356719,71227111,20704755
Colorado,2010,8793676,8914338,2807231
Connecticut,2010,9726922,9542108,2768520
Delaware,2010,1733458,1758988,499586
District of Columbia,2010,1195934,1290048,425379
Florida,2010,26231141,27267009,8069310
Georgia,2010,17839851,17834488,5059938
Hawaii,2010,2564856,2215458,697833
Idaho,2010,2177999,2098737,638912
Illinois,2010,28253620,28560306,9146295
Indiana,2010,14023240,11502534,3696608
Iowa,2010,5744872,5941449,1622316
Kansas,2010,5454128,5979429,1529158
Kentucky,2010,6881951,7092071,2117063
Louisiana,2010,8091029,8125021,2543542
Maine,2010,2721365,2680693,874381
Maryland,2010,13327770,13205691,4047487
Massachusetts,2010,14919763,14857823,4512401
Michigan,2010,19393461,19967017,6228939
Minnesota,2010,10383935,10564774,2504618
Mississippi,2010,4466377,4504257,1399684
Missouri,2010,9587703,10139784,3043213
Montana,2010,1623971,1642886,531730
Nebraska,2010,3720560,3640199,927065
Nevada,2010,4262471,4260869,1359161
New Hampshire,2010,2906573,2856965,837094
New Jersey,2010,26676217,26736651,8958765
New Mexico,2010,3638606,3814058,1178045
