"jurisdiction","year","prisoner_count","state_population","violent_crime_total","murder_manslaughter","rape_legacy","robbery","agg_assault","property_crime_total","burglary","larceny","vehicle_theft"
"IOWA",2007,8692,2988046,8970,39,970,1328,6633,79133,17176,57018,4939
"KANSAS",2007,8721,2775997,12730,106,1287,2022,9315,102961,20461,73900,8600
"KENTUCKY",2007,15364,4241474,12329,206,1365,4068,6690,107987,27820,71489,8678
"LOUISIANA",2007,20461,4293204,31789,625,1427,6316,23421,180516,46932,118291,15293
"MAINE",2007,2148,1317207,1565,20,392,349,804,32249,6745,24228,1276
"MARYLAND",2007,23184,5618344,36063,554,1179,13258,21072,192796,37095,127308,28393
"MASSACHUSETTS",2007,11071,6449755,28487,187,1643,7021,19636,154743,35767,103925,15051
"MICHIGAN",2007,50233,10071822,53765,661,4592,13365,35147,308550,75273,191289,41988
"MINNESOTA",2007,9192,5197621,15054,116,1873,4770,8295,158257,29717,115892,12648
"MISSISSIPPI",2007,17478,2918785,8502,202,1033,2896,4371,90887,27223,56473,7191
"MISSOURI",2007,29823,5878415,32962,367,1785,7728,23082,225113,44897,156319,23897
"MONTANA",2007,2909,957861,3638,27,363,233,3015,27837,3476,22315,2046
"NEBRASKA",2007,4402,1774571,5524,71,550,1115,3788,55765,9035,41484,5246
"NEVADA",2007,13311,2565382,19365,193,1096,6938,11138,97118,24911,49844,22363
"NEW HAMPSHIRE",2007,2759,1315828,1896,12,357,451,1076,26394,5074,19909,1411
"NEW JERSEY",2007,25354,8685920,28544,381,1032,12567,14564,192338,37234,133145,21959
"NEW MEXICO",2007,6429,1969915,13311,183,1028,2323,9777,75168,20823,45442,8903
"NEW YORK",2007,62738,19297729,79962,805,2928,31085,45144,383624,64914,290681,28029
"NORTH CAROLINA",2007,38240,9061032,42231,584,2386,13534,25727,369893,108700,233241,27952
"NORTH DAKOTA",2007,1392,639715,1343,17,252,75,999,12796,2314,9500,982
"OHIO",2007,49894,11466917,40759,529,4661,18351,17218,397681,99049,264677,33955
"OKLAHOMA",2007,23778,3617316,18234,224,1565,3392,13053,128714,34367,80747,13600
"OREGON",2007,13373,3747455,11015,76,1276,2864,6799,132773,22979,95157,14637
"PENNSYLVANIA",2007,45530,12432792,51806,725,3443,19440,28198,293850,56091,211248,26511
"RHODE ISLAND",2007,3745,1057832,2424,19,258,760,1387,27576,5206,19175,3195
"SOUTH CAROLINA",2007,23578,4407709,34630,364,1773,6354,26139,189304,45398,126802,17104
"SOUTH DAKOTA",2007,3276,796214,1926,31,433,118,1344,13829,2647,10398,784
"TENNESSEE",2007,19268,6156719,46482,405,2201,11033,32843,252342,61817,168807,21718
"TEXAS",2007,158576,23904380,122014,1419,8460,38778,73357,985421,228320,663101,94000
"UTAH",2007,5165,2645330,6347,59,935,1425,3928,93082,15594,68573,8915
"VERMONT",2007,2116,621254,802,13,128,79,582,14702,3200,10853,649
"VIRGINIA",2007,32977,7712091,21035,415,1793,7696,11131,191763,32028,145634,14101
"WASHINGTON",2007,16911,6468424,21768,174,2653,6079,12862,261776,52874,170782,38120
"WEST VIRGINIA",2007,4907,1812035,5016,65,388,847,3716,45620,10822,31321,3477
"WISCONSIN",2007,22839,5601640,16330,185,1227,5480,9438,159305,27890,117957,13458
"WYOMING",2007,1927,522830,1344,21,172,84,1067,15053,2365,11875,813
"ALABAMA",2008,25363,4661900,21110,351,1618,7346,11795,190416,50411,126539,13466
"ALASKA",2008,4997,686293,4475,27,447,645,3356,20090,3237,15225,1628
"ARIZONA",2008,39455,6500180,31567,462,2200,9809,19096,266653,58606,169460,38587
"ARKANSAS",2008,13135,2855390,14649,165,1463,2777,10244,110360,33912,69905,6543
"CALIFORNIA",2008,171085,36756666,185329,2142,8903,69388,104896,1080996,237811,650656,192529
"COLORADO",2008,23211,4939456,17480,165,2151,3404,11760,139340,28054,97937,13349
"CONNECTICUT",2008,19905,3501252,10737,132,680,4043,5882,87210,15107,63212,8891
"DELAWARE",2008,6944,873092,6187,57,371,1847,3912,31385,6783,22045,2557
"FLORIDA",2008,99878,18328340,126256,1168,5972,36268,82848,758889,188472,506902,63515
"GEORGIA",2008,52719,9685744,47353,640,2334,17808,26571,387917,100564,247709,39644
"HAWAII",2008,5455,1288198,3510,26,363,1085,2036,45944,9404,31424,5116
"IDAHO",2008,7033,1523816,3680,23,579,239,2839,31940,6748,23532,1660
"ILLINOIS",2008,45474,12901563,67780,790,4118,24054,38818,378355,78968,266815,32572
"INDIANA",2008,26392,6376792,21525,322,1711,7580,11912,213639,48805,147334,17500
"IOWA",2008,8723,3002555,8651,77,937,1249,6388,73273,16598,52299,4376
"KANSAS",2008,8556,2802134,11554,113,1226,1681,8534,94882,19651,67826,7405
"KENTUCKY",2008,15260,4269245,12690,201,1457,4080,6952,114492,29556,77279,7657
"LOUISIANA",2008,20857,4410796,29613,544,1250,6241,21578,171179,45524,112091,13564
"MAINE",2008,2047,1316456,1572,31,379,333,829,32433,6559,24695,1179
"MARYLAND",2008,23141,5633597,35393,493,1127,13203,20570,198165,38849,133983,25333
"MASSACHUSETTS",2008,11174,6497967,30137,166,1751,7077,21143,155919,36251,106913,12755
"MICHIGAN",2008,48738,10003422,51512,554,4507,13246,33205,295100,74787,184558,35755
"MINNESOTA",2008,9031,5220393,13853,110,1805,4179,7759,149517,26558,112764,10195
"MISSISSIPPI",2008,17896,2938618,8942,236,958,3079,4669,85488,25506,53730,6252
"MISSOURI",2008,30137,5911605,29701,456,1612,7395,20238,216522,45763,150002,20757
"MONTANA",2008,2910,967440,3013,40,358,204,2411,26300,3689,20834,1777
"NEBRASKA",2008,4470,1783432,5570,69,601,1297,3603,51350,8731,38394,4225
"NEVADA",2008,12877,2600167,18973,165,1106,6486,11216,90006,24254,49814,15938
"NEW HAMPSHIRE",2008,2854,1315809,2054,14,385,421,1234,28387,4266,22714,1407
"NEW JERSEY",2008,24835,8682661,28351,376,1122,12701,14152,199127,40402,138545,20180
"NEW MEXICO",2008,6321,1984356,12967,161,1118,2151,9537,75718,20706,46995,8017
"NEW YORK",2008,60198,19490297,77546,836,2798,31787,42125,388599,65544,297962,25093
"NORTH CAROLINA",2008,39957,9222414,43125,599,2296,14323,25907,372763,111556,234480,26727
"NORTH DAKOTA",2008,1379,641481,1441,11,331,73,1026,13029,2336,9782,911
"OHIO",2008,50884,11485910,40436,547,4531,18706,16652,391667,102428,260788,28451
"OKLAHOMA",2008,23676,3642361,19359,215,1471,3698,13975,126535,35247,80265,11023
"OREGON",2008,13541,3790060,9909,87,1183,2656,5983,125169,21115,92677,11377
"PENNSYLVANIA",2008,48736,12448279,51044,705,3485,18873,27981,300294,58687,219115,22492
"RHODE ISLAND",2008,3739,1050788,2656,31,282,880,1463,29895,5766,20926,3203
"SOUTH CAROLINA",2008,23685,4479800,32746,307,1686,6595,24158,189950,45964,126316,17670
"SOUTH DAKOTA",2008,3352,804194,2227,37,562,134,1494,13867,2683,10266,918
"TENNESSEE",2008,19379,6214888,44913,412,2078,10804,31619,251089,65093,166793,19203
"TEXAS",2008,159237,24326974,123585,1370,8055,37739,76421,969865,230046,654435,85384
"UTAH",2008,5132,2736424,6165,41,915,1421,3788,92373,14766,70299,7308
"VERMONT",2008,2116,621270,854,17,133,93,611,15903,3515,11802,586
"VIRGINIA",2008,32585,7769089,20031,370,1794,7470,10397,196726,32188,151191,13347
"WASHINGTON",2008,17188,6549224,21888,193,2653,6419,12623,249283,53136,167013,29134
"WEST VIRGINIA",2008,4896,1814468,5006,67,389,896,3654,45971,10840,31967,3164
"WISCONSIN",2008,22282,5627967,15507,146,1128,5163,9070,155456,27459,116456,11541
"WYOMING",2008,1704,532668,1330,12,185,87,1046,14515,2198,11584,733
"ALABAMA",2009,27241,4708708,21194,322,1504,6265,13103,178007,48844,118072,11091
"ALASKA",2009,5472,698473,4424,22,513,654,3235,20538,3600,15251,1687
"ARIZONA",2009,40544,6595778,28128,380,2279,8199,17270,236721,54308,155976,26437
"ARKANSAS",2009,13338,2889450,14905,179,1378,2576,10772,109078,34753,68228,6097
"CALIFORNIA",2009,168830,36961664,174934,1972,8713,64093,100156,1009433,230198,615402,163833
"COLORADO",2009,22725,5024748,17022,159,2269,3371,11223,134196,26637,95079,12480
"CONNECTICUT",2009,18938,3518288,10588,106,657,4001,5824,82625,15172,59992,7461
"DELAWARE",2009,6581,885122,5713,41,395,1680,3597,29685,6943,20836,1906
"FLORIDA",2009,101373,18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259
"GEORGIA",2009,53538,9829211,42073,566,2323,14631,24553,360985,98606,229216,33163
"HAWAII",2009,4848,1295178,3550,23,385,1030,2112,47516,9244,33415,4857
"IDAHO",2009,7184,1545801,3805,24,575,254,2952,31220,6682,23066,1472
"ILLINOIS",2009,45161,12910409,64185,773,3901,22923,36588,353347,77850,248821,26676
"INDIANA",2009,26748,6423113,21455,312,1621,7347,12175,199907,48880,137190,13837
"IOWA",2009,8914,3007856,8485,38,890,1201,6356,70080,16419,49757,3904
"KANSAS",2009,8644,2818747,11460,125,1179,1786,8370,90930,19473,65499,5958
"KENTUCKY",2009,14984,4314113,11000,184,1531,3642,5643,108914,29880,72938,6096
"LOUISIANA",2009,19889,4492076,28878,529,1351,6150,20848,172619,46928,114102,11589
"MAINE",2009,2074,1318301,1580,26,375,399,780,31706,6729,23955,1022
"MARYLAND",2009,22066,5699478,33625,440,1156,12007,20022,182295,36905,125771,19619
"MASSACHUSETTS",2009,11156,6593587,30503,173,1734,7467,21129,153178,34515,106799,11864
"MICHIGAN",2009,45478,9969727,49825,623,4524,12427,32251,284019,76046,178628,29345
"MINNESOTA",2009,9500,5266214,12874,74,1789,3619,7392,139286,25580,105160,8546
"MISSISSIPPI",2009,17212,2951996,8451,194,991,2969,4297,87327,29559,52329,5439
"MISSOURI",2009,30519,5987580,29513,387,1606,7437,20083,201783,43591,140764,17428
"MONTANA",2009,3085,974989,2798,32,357,228,2181,24826,3686,19528,1612
"NEBRASKA",2009,4490,1796619,5199,41,617,1220,3321,49731,8726,37496,3509
"NEVADA",2009,12570,2643085,18639,156,1024,6028,11431,80976,22115,46463,12398
"NEW HAMPSHIRE",2009,2915,1324575,2125,11,399,454,1261,28790,4915,22748,1127
"NEW JERSEY",2009,24115,8707739,27113,319,1041,11639,14114,180752,36945,128303,15504
"NEW MEXICO",2009,6584,2009671,12709,198,1069,1932,9510,74639,21955,46182,6502
"NEW YORK",2009,58479,19541453,75110,781,2582,28141,43606,377537,62769,292897,21871
"NORTH CAROLINA",2009,40133,9380884,37946,489,2306,11825,23326,343707,107830,215923,19954
"NORTH DAKOTA",2009,1436,646844,1723,12,296,107,1308,12813,2426,9474,913
"OHIO",2009,50783,11542645,38305,527,4119,17670,15989,376446,104009,249777,22660
"OKLAHOMA",2009,24053,3687050,18560,234,1535,3358,13433,132350,38071,83813,10466
"OREGON",2009,13735,3825657,9968,88,1202,2499,6179,114780,19739,85064,9977
"PENNSYLVANIA",2009,50485,12604767,48188,664,3626,17504,26394,277182,54772,204588,17822
"RHODE ISLAND",2009,3413,1053209,2678,32,296,785,1565,27558,5753,19403,2402
"SOUTH CAROLINA",2009,23685,4561242,30799,305,1663,5753,23078,178310,45443,119250,13617
"SOUTH DAKOTA",2009,3390,812383,1777,30,501,117,1129,14378,2621,10891,866
"TENNESSEE",2009,19932,6296254,41933,468,2019,9653,29793,237157,63832,158309,15016
"TEXAS",2009,158542,24782302,121684,1330,8311,38022,74021,995082,240058,678455,76569
"UTAH",2009,5244,2784572,5998,39,941,1304,3714,91751,15258,69556,6937
"VERMONT",2009,2220,621760,837,8,132,111,586,15010,3471,11090,449
"VIRGINIA",2009,30995,7882590,18195,370,1572,6342,9911,194020,31956,150374,11690
"WASHINGTON",2009,17255,6664195,22412,190,2583,6711,12928,245215,53047,168421,23747
"WEST VIRGINIA",2009,5062,1819777,5554,84,470,914,4086,46215,12005,31453,2757
"WISCONSIN",2009,22262,5654774,14650,146,1118,4904,8482,147692,26813,111947,8932
"WYOMING",2009,1743,544270,1196,11,172,78,935,14243,2176,11310,757
"ALABAMA",2010,27345,4785401,18363,275,1355,4864,11869,168828,42484,115564,10780
"ALASKA",2010,5369,714146,4537,31,533,594,3379,20259,3105,15535,1619
"ARIZONA",2010,40130,6413158,26528,408,2191,6953,16976,226802,50932,154137,21733
"ARKANSAS",2010,14192,2921588,14711,134,1321,2369,10887,103820,32463,65796,5561
"CALIFORNIA",2010,162821,37338198,164133,1809,8331,58116,95877,981939,228857,600558,152524
"COLORADO",2010,22752,5047692,16339,129,2230,3164,10816,135001,26196,97534,11271
"CONNECTICUT",2010,18629,3575498,10083,133,595,3553,5802,78259,15145,56413,6701
"DELAWARE",2010,6378,899792,5608,51,326,1839,3392,31078,7550,21593,1935
"FLORIDA",2010,102070,18838613,101969,987,5373,26086,69523,669035,169119,458454,41462
"GEORGIA",2010,52794,9712157,39068,555,2107,12372,24034,353449,96947,226161,30341
"HAWAII",2010,5294,1363359,3603,25,377,1065,2136,45667,8706,31681,5280
"IDAHO",2010,7235,1571102,3464,22,533,213,2696,31436,6513,23594,1329
"ILLINOIS",2010,48418,12841980,57132,704,3066,20386,32976,349064,77472,242681,28911
"INDIANA",2010,27273,6490622,20983,268,1760,6559,12396,199274,48570,137204,13500
"IOWA",2010,9457,3050202,8191,38,883,1012,6258,68740,16746,48194,3800
"KANSAS",2010,9055,2859143,10602,97,1146,1538,7821,89109,19315,63774,6020
"KENTUCKY",2010,14501,4347223,10604,188,1438,3748,5230,111170,30443,74488,6239
"LOUISIANA",2010,19008,4545343,25241,500,1230,5297,18214,165667,45437,110260,9970
"MAINE",2010,1954,1327379,1621,24,389,412,796,32900,7364,24547,989
"MARYLAND",2010,22856,5785681,31607,426,1228,11054,18899,173309,36704,118578,18027
"MASSACHUSETTS",2010,11162,6555466,30737,214,1784,6897,21842,154496,37903,105124,11469
"MICHIGAN",2010,44113,9877143,48693,580,4733,11522,31858,271501,74345,169748,27408
"MINNESOTA",2010,9397,5310658,12515,96,1798,3388,7233,136431,24415,103429,8587
"MISSISSIPPI",2010,16454,2970072,7999,204,931,2777,4087,88596,30453,52784,5359
"MISSOURI",2010,30577,5995715,27440,420,1445,6185,19390,200858,44197,140526,16135
"MONTANA",2010,3137,990958,2733,25,332,154,2222,25409,3692,20166,1551
"NEBRASKA",2010,4608,1830141,5093,54,674,1020,3345,48827,8318,36896,3613
"NEVADA",2010,12192,2704283,17929,158,965,5298,11508,75004,22286,42533,10185
"NEW HAMPSHIRE",2010,2617,1316807,2204,13,411,450,1330,29230,5444,22789,997
"NEW JERSEY",2010,24488,8799593,27055,371,981,11818,13885,183042,38732,128754,15556
"NEW MEXICO",2010,6659,2065913,12147,140,959,1616,9432,70776,21023,44503,5250
"NEW YORK",2010,56420,19395206,76492,868,2797,28630,44197,379710,65839,293232,20639
"NORTH CAROLINA",2010,40375,9560234,34679,474,2002,9620,22583,329202,102826,208057,18319
"NORTH DAKOTA",2010,1416,674629,1548,10,245,90,1203,12010,2000,9137,873
"OHIO",2010,51709,11537968,36306,479,3730,16486,15611,376836,107125,248581,21130
"OKLAHOMA",2010,24147,3760184,18100,195,1469,3345,13091,129464,37848,81303,10313
"OREGON",2010,13859,3838332,9648,96,1239,2421,5892,116657,20035,87494,9128
"PENNSYLVANIA",2010,48087,12717722,46612,653,3472,16375,26112,276366,55206,204440,16720
"RHODE ISLAND",2010,3159,1052528,2709,29,298,782,1600,26959,6124,18432,2403
"SOUTH CAROLINA",2010,23009,4637106,27923,265,1551,5017,21090,181098,46261,121544,13293
"SOUTH DAKOTA",2010,3393,816598,2196,23,385,154,1634,15188,3192,11196,800
"TENNESSEE",2010,20037,6357436,38909,359,2173,8361,28016,232855,64293,153729,14833
"TEXAS",2010,160242,25253466,113231,1249,7622,32843,71517,951246,228597,654626,68023
"UTAH",2010,5442,2775479,5925,53,983,1269,3620,88316,15095,67242,5979
"VERMONT",2010,2079,625909,820,7,141,76,596,14160,3348,10373,439
"VIRGINIA",2010,31911,8023953,17184,376,1580,5678,9550,187403,30804,145990,10609
"WASHINGTON",2010,17028,6742950,21138,154,2579,5929,12476,249426,55192,168490,25744
"WEST VIRGINIA",2010,5072,1854368,5586,58,362,776,4390,41301,10778,28104,2419
"WISCONSIN",2010,22033,5691659,14167,155,1191,4516,8305,142781,26636,107993,8152
"WYOMING",2010,2092,564554,1117,8,162,77,870,13869,2151,11126,592
"ALABAMA",2011,26813,4803689,20166,299,1370,4906,13591,173192,51119,111411,10662
"ALASKA",2011,6216,723860,4416,30,436,576,3374,19094,2852,14854,1388
"ARIZONA",2011,39949,6467315,26789,397,2499,7145,16748,229896,54695,155400,19801
"ARKANSAS",2011,14090,2938582,14173,160,1230,2357,10426,110430,34016,70645,5769
"CALIFORNIA",2011,147578,37683933,154943,1792,7665,54291,91195,973822,230075,596905,146842
"COLORADO",2011,21862,5116302,16085,155,2285,3299,10346,132781,25725,96054,11002
"CONNECTICUT",2011,17877,3586717,9889,129,689,3689,5382,77205,15468,55067,6670
"DELAWARE",2011,6546,908137,5144,48,307,1558,3231,31163,7617,22001,1545
"FLORIDA",2011,100861,19082262,98198,984,5273,25622,66319,671200,170171,461408,39621
"GEORGIA",2011,52844,9812460,36762,549,2066,12266,21881,357235,96014,231543,29678
"HAWAII",2011,5454,1378129,3465,20,353,994,2098,43874,8165,31240,4469
"IDAHO",2011,7470,1583744,3202,35,444,188,2535,32875,6915,24629,1331
"ILLINOIS",2011,48427,12859752,54523,781,3030,20217,30495,344468,77719,237362,29387
"INDIANA",2011,27402,6516353,21619,306,1758,6977,12578,206016,50571,140630,14815
"IOWA",2011,9115,3064097,7883,44,866,824,6149,72043,17573,50472,3998
"KANSAS",2011,9330,2870386,10209,111,1122,1448,7528,88655,18712,63259,6684
"KENTUCKY",2011,14001,4366814,10465,151,1499,3705,5110,119037,32750,79586,6701
"LOUISIANA",2011,18844,4574766,25373,506,1262,5235,18370,168529,46242,113174,9113
"MAINE",2011,1978,1328544,1638,26,394,370,848,33829,7865,24886,1078
"MARYLAND",2011,23001,5839572,28817,399,1200,10342,16876,166846,35823,114951,16072
"MASSACHUSETTS",2011,11467,6607003,28232,184,1654,6768,19626,148829,36403,101644,10782
"MICHIGAN",2011,42904,9876801,43731,617,4344,10263,28507,251329,69755,156666,24908
"MINNESOTA",2011,9309,5347299,12323,75,2113,3385,6750,136183,25681,102354,8148
"MISSISSIPPI",2011,15390,2977457,8009,232,863,2496,4418,89809,30722,54179,4908
"MISSOURI",2011,30969,6008984,26888,366,1469,6275,18778,199085,44875,138879,15331
"MONTANA",2011,3125,997667,2755,29,366,171,2189,23885,3347,19089,1449
"NEBRASKA",2011,4657,1842234,4672,68,699,993,2912,50894,8725,38060,4109
"NEVADA",2011,12159,2720028,15452,139,913,4308,10092,70075,20342,40156,9577
"NEW HAMPSHIRE",2011,2423,1317807,2864,16,581,509,1758,32756,6244,25398,1114
"NEW JERSEY",2011,23642,8834773,27203,380,1006,12209,13608,189719,43238,129066,17415
"NEW MEXICO",2011,6687,2078674,11904,158,856,1720,9170,73549,21419,46730,5400
"NEW YORK",2011,55196,19501616,77463,769,2751,28405,45538,371837,65227,287361,19249
"NORTH CAROLINA",2011,39662,9651103,33421,498,1959,9448,21516,337806,105534,215453,16819
"NORTH DAKOTA",2011,1385,684740,1699,24,266,91,1318,13334,2458,9891,985
"OHIO",2011,50961,11541007,35218,500,3679,15991,15048,380572,112901,246744,20927
"OKLAHOMA",2011,23750,3784163,17311,212,1410,3288,12401,127618,36462,80064,11092
"OREGON",2011,13728,3868229,9643,84,1239,2237,6083,121869,20704,92059,9106
"PENNSYLVANIA",2011,49710,12743948,46189,639,3339,16165,26046,283442,57966,208604,16872
"RHODE ISLAND",2011,3032,1050646,2586,20,319,744,1503,27976,6836,18765,2375
"SOUTH CAROLINA",2011,22363,4673348,27894,320,1678,4631,21265,183243,47351,122255,13637
"SOUTH DAKOTA",2011,3562,823593,2105,20,503,167,1415,15299,2927,11423,949
"TENNESSEE",2011,19831,6399787,38895,380,2095,8082,28338,230900,62830,153928,14142
"TEXAS",2011,159956,25631778,104734,1130,7486,28620,67498,892810,215755,613131,63924
"UTAH",2011,5294,2814347,5547,50,901,1079,3517,84084,13170,64727,6187
"VERMONT",2011,2053,626592,925,11,146,99,669,15086,3838,10720,528
"VIRGINIA",2011,30531,8104384,16014,304,1591,5425,8694,182902,30656,142476,9770
"WASHINGTON",2011,17109,6823267,20152,163,2320,5627,12042,244209,56561,162828,24820
"WEST VIRGINIA",2011,5149,1854908,5497,87,372,802,4236,39009,10245,26656,2108
"WISCONSIN",2011,22388,5709843,14268,138,1190,4600,8340,139912,27167,104472,8273
"WYOMING",2011,2162,567356,1245,18,146,71,1010,12878,1864,10493,521
"ALABAMA",2012,26768,4817528,21693,342,1296,5020,15035,168878,47481,111523,9874
"ALASKA",2012,6308,730307,4412,30,583,630,3169,20037,2950,15565,1522
"ARIZONA",2012,40013,6551149,28077,358,2282,7383,18054,231701,52911,159808,18982
"ARKANSAS",2012,14043,2949828,13851,174,1233,2310,10134,109389,32673,70982,5734
"CALIFORNIA",2012,132935,37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608
"COLORADO",2012,20328,5189458,15951,152,2122,3392,10285,139355,26163,101091,12101
"CONNECTICUT",2012,17164,3591765,10183,117,933,3709,5424,77169,14787,55904,6478
"DELAWARE",2012,6730,917053,5048,56,249,1498,3245,30707,7389,21880,1438
"FLORIDA",2012,99835,19320749,94087,1009,5260,23889,63929,632988,153563,442095,37330
"GEORGIA",2012,55178,9915646,37675,583,2143,12502,22447,339473,86992,223875,28606
"HAWAII",2012,5297,1390090,3378,21,279,1125,1953,43419,7653,31901,3865
"IDAHO",2012,7715,1595590,3348,30,495,243,2580,31825,7240,23203,1382
"ILLINOIS",2012,49348,12868192,53556,770,3581,19480,29725,332706,71100,235314,26292
"INDIANA",2012,28034,6537782,22544,307,1661,6601,13975,197994,47689,136668,13637
"IOWA",2012,8735,3075039,8167,49,901,962,6255,70357,17201,49116,4040
"KANSAS",2012,9505,2885398,10292,85,1105,1493,7609,91066,18874,65413,6779
"KENTUCKY",2012,12998,4379730,9852,201,1312,3547,4792,112800,29877,76199,6724
"LOUISIANA",2012,18601,4602134,22839,489,1155,5458,15737,162673,42037,112764,7872
"MAINE",2012,1977,1328501,1626,26,372,420,808,33398,7476,24931,991
"MARYLAND",2012,21810,5884868,28086,373,1237,10173,16303,162309,33803,113550,14956
"MASSACHUSETTS",2012,11127,6645303,27047,121,1650,6555,18721,143325,34635,99453,9237
"MICHIGAN",2012,43594,9882519,44962,701,4635,10423,29203,249249,65560,158609,25080
"MINNESOTA",2012,9421,5379646,12419,99,1638,3475,7207,138152,25378,104316,8458
"MISSISSIPPI",2012,15791,2986450,7769,213,819,2277,4460,83933,28084,51520,4329
"MISSOURI",2012,31205,6024522,27189,390,1527,5782,19490,199813,42510,140971,16332
"MONTANA",2012,3095,1005494,2803,29,392,202,2180,26102,3920,20484,1698
"NEBRASKA",2012,4721,1855350,4802,52,710,1128,2912,51203,8745,38301,4157
"NEVADA",2012,12594,2754354,16763,124,931,4918,10790,77510,22120,45372,10018
"NEW HAMPSHIRE",2012,2568,1321617,2841,15,486,471,1869,32074,5988,25024,1062
"NEW JERSEY",2012,23050,8867749,25727,388,1035,11385,12919,181481,42338,122662,16481
"NEW MEXICO",2012,6640,2083540,11660,116,957,1847,8740,75094,21384,48247,5463
"NEW YORK",2012,54058,19576125,79535,683,2837,28633,47382,375268,64389,293562,17317
"NORTH CAROLINA",2012,37378,9748364,34464,479,1984,9392,22609,328594,99323,213151,16120
"NORTH DAKOTA",2012,1413,701345,1723,25,279,127,1292,14297,2429,10687,1181
"OHIO",2012,50872,11553031,34827,478,3813,15396,15140,370435,105312,245372,19751
"OKLAHOMA",2012,24370,3815780,18102,220,1622,3248,13012,130969,36094,83131,11744
"OREGON",2012,14123,3899801,9638,91,1159,2419,5969,126417,22051,94114,10252
"PENNSYLVANIA",2012,50228,12764475,45384,707,3371,15735,25571,276562,57040,204409,15113
"RHODE ISLAND",2012,3042,1050304,2657,36,292,715,1614,27039,5929,18478,2632
"SOUTH CAROLINA",2012,21867,4723417,26474,332,1712,4511,19919,181049,45222,122340,13487
"SOUTH DAKOTA",2012,3596,834047,2701,23,600,157,1921,17326,3280,12973,1073
"TENNESSEE",2012,19817,6454914,41213,400,2047,8151,30615,217925,56231,148731,12963
"TEXAS",2012,155195,26060796,106475,1148,7715,30385,67227,876459,205002,606425,65032
"UTAH",2012,5309,2854871,5939,52,975,1105,3807,86284,13095,67157,6032
"VERMONT",2012,2034,625953,891,8,131,114,638,15653,4179,11014,460
"VIRGINIA",2012,29708,8186628,15676,322,1505,4718,9131,178434,29651,139654,9129
"WASHINGTON",2012,16919,6895318,20553,217,2250,5801,12285,254377,61376,166338,26663
"WEST VIRGINIA",2012,5335,1856680,5943,70,415,835,4623,44500,11466,30800,2234
"WISCONSIN",2012,22419,5724554,16254,169,1228,4692,10165,140780,27931,104619,8230
"WYOMING",2012,2187,576626,1161,14,154,61,932,13222,2125,10513,584
"ALABAMA",2013,26825,4833996,20834,346,1449,4645,13788,161835,42410,108862,10563
"ALASKA",2013,5081,737259,4709,34,657,623,3127,21211,2917,16599,1695
"ARIZONA",2013,41031,6634997,27576,355,2344,6656,17391,223294,48292,158036,16966
"ARKANSAS",2013,14295,2958765,13705,158,1135,2261,9796,106477,30369,70430,5678
"CALIFORNIA",2013,134339,38431393,154739,1746,7464,53640,89029,1018907,232058,621557,165292
"COLORADO",2013,20184,5272086,16099,174,2198,3136,9826,139974,25075,102375,12524
"CONNECTICUT",2013,17319,3599341,9439,91,647,3551,4906,71274,12934,52099,6241
"DELAWARE",2013,6798,925240,4633,41,278,1233,2960,29001,6299,21347,1355
"FLORIDA",2013,100940,19600311,91993,972,4765,23200,61054,607170,138915,433344,34911
"GEORGIA",2013,53701,9994759,37519,563,2022,12704,21361,339808,83459,229190,27159
"HAWAII",2013,5173,1408987,3585,32,366,934,2111,45266,7777,32928,4561
"IDAHO",2013,7219,1612843,3471,29,516,220,2548,30230,6693,21999,1538
"ILLINOIS",2013,48653,12890552,51956,722,3895,17733,28161,296048,59093,216059,20896
"INDIANA",2013,28495,6570713,23627,357,1623,7114,13915,187472,42754,130534,14184
"IOWA",2013,8707,3092341,8443,41,873,937,6332,67976,15918,47803,4255
"KANSAS",2013,9610,2895801,9928,117,1003,1339,7177,85704,17476,61557,6671
"KENTUCKY",2013,12141,4399583,9280,172,951,3247,4215,104448,26331,72048,6069
"LOUISIANA",2013,18794,4629284,24127,494,1248,5539,16331,165679,41214,115300,9165
"MAINE",2013,2073,1328702,1761,24,366,335,907,30454,6480,23063,911
"MARYLAND",2013,21705,5938737,28235,384,1179,10048,16124,157918,31950,112551,13417
"MASSACHUSETTS",2013,10622,6708874,27264,138,1722,6705,18118,137274,30716,97437,9121
"MICHIGAN",2013,43704,9898193,44757,625,4506,10093,27254,230135,56256,149794,24085
"MINNESOTA",2013,9391,5422060,12710,114,1453,3674,6908,131193,22713,100514,7966
"MISSISSIPPI",2013,15591,2992206,8303,217,726,2413,4649,81548,24969,52192,4387
"MISSOURI",2013,31499,6044917,26216,369,1679,5486,18056,189655,38797,134514,16344
"MONTANA",2013,3125,1014864,2924,23,382,217,2217,26195,4122,20192,1881
"NEBRASKA",2013,5012,1868969,4949,56,621,1035,3011,49197,8945,35791,4461
"NEVADA",2013,12789,2791494,16888,163,1090,5183,10060,79177,23047,46132,9998
"NEW HAMPSHIRE",2013,2623,1322616,2952,21,522,647,1506,29278,4979,23355,944
"NEW JERSEY",2013,22263,8911502,25748,404,861,12084,12071,167634,35883,118005,13746
